"Time","argo-rollouts"
2023-04-15 21:38:30,5.30
2023-04-15 21:38:45,5.30
2023-04-15 21:39:00,5.14
2023-04-15 21:39:15,5.14
2023-04-15 21:39:30,14.0
2023-04-15 21:39:45,14.0
2023-04-15 21:40:00,12.2
2023-04-15 21:40:15,12.2
2023-04-15 21:41:00,8.31
2023-04-15 21:41:15,8.31
2023-04-15 21:41:30,8.17
2023-04-15 21:41:45,8.17
2023-04-15 21:42:00,23.0
2023-04-15 21:42:15,23.0
2023-04-15 21:42:30,19.3
2023-04-15 21:42:45,19.3
2023-04-15 21:43:00,16.3
2023-04-15 21:43:15,16.3
2023-04-15 21:43:30,14.7


