"Time","argo-rollouts"
2023-04-15 21:38:30,28.9
2023-04-15 21:38:45,28.9
2023-04-15 21:39:00,29.6
2023-04-15 21:39:15,29.6
2023-04-15 21:39:30,30.8
2023-04-15 21:39:45,30.8
2023-04-15 21:40:00,31.7
2023-04-15 21:40:15,31.7
2023-04-15 21:41:00,34.1
2023-04-15 21:41:15,34.1
2023-04-15 21:41:30,35.3
2023-04-15 21:41:45,35.3
2023-04-15 21:42:00,37.0
2023-04-15 21:42:15,37.0
2023-04-15 21:42:30,39.3
2023-04-15 21:42:45,39.3
2023-04-15 21:43:00,39.6
2023-04-15 21:43:15,39.6
2023-04-15 21:43:30,37.7


