"Time","flagger"
2023-02-21 13:01:45,6.32
2023-02-21 13:02:00,6.22
2023-02-21 13:02:15,6.22
2023-02-21 13:02:30,7.11
2023-02-21 13:02:45,7.11
2023-02-21 13:03:00,7.02
2023-02-21 13:03:15,7.02
2023-02-21 13:03:30,7.13
2023-02-21 13:03:45,7.13
2023-02-21 13:04:00,6.50
2023-02-21 13:04:15,6.50
2023-02-21 13:04:30,7.03
2023-02-21 13:04:45,7.03
2023-02-21 13:05:00,6.35
2023-02-21 13:05:15,6.35
2023-02-21 13:05:30,6.97
2023-02-21 13:05:45,6.97
2023-02-21 13:06:00,6.49
2023-02-21 13:06:15,6.49

