"Time","spinnaker"
2023-04-17 18:49:00,200
2023-04-17 18:49:15,316
2023-04-17 18:49:30,316
2023-04-17 18:49:45,122
2023-04-17 18:50:00,122
2023-04-17 18:50:15,144
2023-04-17 18:50:30,144
2023-04-17 18:50:45,307
2023-04-17 18:51:00,307
2023-04-17 18:51:15,136
2023-04-17 18:51:30,136
2023-04-17 18:51:45,203
2023-04-17 18:52:00,203
2023-04-17 18:52:15,28.3
2023-04-17 18:52:30,28.3
2023-04-17 18:52:45,85.4
2023-04-17 18:53:00,85.4
2023-04-17 18:53:15,97.6
2023-04-17 18:53:30,97.6
2023-04-17 18:53:45,279
2023-04-17 18:54:00,279
